team,player,track,score
Albatross,dr,Thwomp Swamp,8
Albatross,m1,Desert Fort,6
Albatross,m1,3DS Bowser's Castle,8
Albatross,m1,Wetland Woods,3
Albatross,m1,Castle in the Sky,4
Albatross,m1,Rush City Run,2
Albatross,m1,Big Express City,4
Albatross,m1,3DS Rosalina's Ice World,6
Albatross,m1,Bowser Jr.'s Fort,6
Albatross,m1,N64 Frappe Snowland,15
Albatross,m1,Fort Francis,12
Albatross,m1,The Rabbit Hole,15
Albatross,m1,Thwomp Swamp,15
Albatross,fan,Desert Fort,8
Albatross,fan,3DS Bowser's Castle,10
Albatross,fan,Wetland Woods,12
Albatross,fan,Castle in the Sky,6
Albatross,fan,Rush City Run,4
Albatross,fan,Big Express City,3
Albatross,fan,3DS Rosalina's Ice World,8
Albatross,fan,Bowser Jr.'s Fort,4
Albatross,fan,N64 Frappe Snowland,6
Albatross,fan,Fort Francis,6
Albatross,fan,The Rabbit Hole,3
Albatross,fan,Thwomp Swamp,12
Albatross,volumes,Desert Fort,2
Albatross,volumes,3DS Bowser's Castle,4
Albatross,volumes,Wetland Woods,2
Albatross,volumes,Castle in the Sky,2
Albatross,volumes,Rush City Run,3
Albatross,volumes,Big Express City,8
Albatross,volumes,3DS Rosalina's Ice World,3
Albatross,volumes,Bowser Jr.'s Fort,2
Albatross,volumes,N64 Frappe Snowland,8
Albatross,volumes,Fort Francis,15
Albatross,volumes,The Rabbit Hole,6
Albatross,volumes,Thwomp Swamp,2
Albatross,ETH4N (bag),Desert Fort,0
Albatross,ETH4N (bag),3DS Bowser's Castle,1
Albatross,ETH4N (bag),Wetland Woods,1
Albatross,ETH4N (bag),Castle in the Sky,0
Albatross,ETH4N (bag),Rush City Run,0
Albatross,ETH4N (bag),Big Express City,1
Albatross,ETH4N (bag),3DS Rosalina's Ice World,0
Albatross,ETH4N (bag),Bowser Jr.'s Fort,1
Albatross,ETH4N (bag),N64 Frappe Snowland,1
Albatross,ETH4N (bag),Fort Francis,1
Albatross,ETH4N (bag),The Rabbit Hole,1
Albatross,ETH4N,Thwomp Swamp,6
Mi,abell,Frantic Funyard,10
Mi,abell,Super Sky Courtyard,12
Mi,abell,3DS Neo Bowser City,12
Mi,abell,Pipe Underworld,15
Mi,abell,Mansion of Madness,12
Mi,abell,Strobenz Desert Illusion,10
Mi,abell,Shy Guy Lumber Co.,3
Mi,abell,Dark Matter Shrine,15
Mi,abell,Bluster Blob Bluff,12
Mi,abell,Christmas Court,8
Mi,abell,Wicked Woods,12
Mi,abell,Lava Lake,6
Mi,Jack,Frantic Funyard,15
Mi,Jack,Super Sky Courtyard,4
Mi,Jack,3DS Neo Bowser City,15
Mi,Jack,Pipe Underworld,2
Mi,Jack,Mansion of Madness,10
Mi,Jack,Strobenz Desert Illusion,12
Mi,Jack,Shy Guy Lumber Co.,2
Mi,Jack,Dark Matter Shrine,8
Mi,Jack,Bluster Blob Bluff,6
Mi,Jack,Christmas Court,15
Mi,Jack,Wicked Woods,15
Mi,Jack,Lava Lake,10
Mi,winter,Frantic Funyard,12
Mi,winter,Super Sky Courtyard,10
Mi,winter,3DS Neo Bowser City,4
Mi,winter,Pipe Underworld,10
Mi,winter,Mansion of Madness,8
Mi,winter,Strobenz Desert Illusion,15
Mi,winter,Shy Guy Lumber Co.,4
Mi,winter,Dark Matter Shrine,4
Mi,winter,Bluster Blob Bluff,4
Mi,winter,Christmas Court,2
Mi,winter,Wicked Woods,10
Mi,winter,Lava Lake,15
Mi,Tectrox,Frantic Funyard,6
Mi,Tectrox,Super Sky Courtyard,8
Mi,Tectrox,3DS Neo Bowser City,8
Mi,Tectrox,Pipe Underworld,8
Mi,Tectrox,Mansion of Madness,3
Mi,Tectrox,Strobenz Desert Illusion,2
Mi,Tectrox,Shy Guy Lumber Co.,15
Mi,Tectrox,Dark Matter Shrine,3
Mi,Tectrox,Bluster Blob Bluff,15
Mi,Tectrox,Christmas Court,10
Mi,Tectrox,Wicked Woods,3
Mi,Tectrox,Lava Lake,3
Mi,miiwii (bag),Frantic Funyard,1
Mi,miiwii (bag),Super Sky Courtyard,1
Mi,miiwii (bag),3DS Neo Bowser City,1
Mi,miiwii (bag),Pipe Underworld,0
Mi,miiwii (bag),Mansion of Madness,1
Mi,miiwii (bag),Strobenz Desert Illusion,0
Mi,miiwii (bag),Shy Guy Lumber Co.,1
Mi,miiwii (bag),Dark Matter Shrine,0
Mi,miiwii (bag),Bluster Blob Bluff,0
Mi,miiwii (bag),Christmas Court,0
Mi,miiwii (bag),Wicked Woods,1
Mi,miiwii (bag),Lava Lake,1
Flag,End,Frantic Funyard,8
Flag,End,Super Sky Courtyard,6
Flag,End,3DS Neo Bowser City,2
Flag,End,Pipe Underworld,3
Flag,End,Mansion of Madness,15
Flag,End,Strobenz Desert Illusion,4
Flag,End,Shy Guy Lumber Co.,6
Flag,End,Dark Matter Shrine,10
Flag,End,Bluster Blob Bluff,3
Flag,End,Christmas Court,12
Flag,End,Wicked Woods,8
Flag,End,Lava Lake,12
Flag,Lawrence,Frantic Funyard,4
Flag,Lawrence,Super Sky Courtyard,15
Flag,Lawrence,3DS Neo Bowser City,10
Flag,Lawrence,Pipe Underworld,12
Flag,Lawrence,Mansion of Madness,4
Flag,Lawrence,Strobenz Desert Illusion,6
Flag,Lawrence,Shy Guy Lumber Co.,12
Flag,Lawrence,Dark Matter Shrine,6
Flag,Lawrence,Bluster Blob Bluff,8
Flag,Lawrence,Christmas Court,4
Flag,Lawrence,Wicked Woods,2
Flag,Lawrence,Lava Lake,4
Flag,Canton,Frantic Funyard,2
Flag,Canton,Super Sky Courtyard,3
Flag,Canton,3DS Neo Bowser City,3
Flag,Canton,Pipe Underworld,4
Flag,Canton,Mansion of Madness,6
Flag,Canton,Strobenz Desert Illusion,8
Flag,Canton,Shy Guy Lumber Co.,8
Flag,Canton,Dark Matter Shrine,12
Flag,Canton,Bluster Blob Bluff,10
Flag,Canton,Christmas Court,3
Flag,Canton,Wicked Woods,4
Flag,Canton,Lava Lake,2
Flag,Silver,Frantic Funyard,3
Flag,Silver,Super Sky Courtyard,2
Flag,Silver,3DS Neo Bowser City,6
Flag,Silver,Pipe Underworld,6
Flag,Silver,Mansion of Madness,3
Flag,Silver,Strobenz Desert Illusion,3
Flag,Silver,Shy Guy Lumber Co.,10
Flag,Silver,Dark Matter Shrine,2
Flag,Silver,Bluster Blob Bluff,2
Flag,Silver,Christmas Court,6
Flag,Silver,Wicked Woods,6
Flag,Silver,Lava Lake,8
Flag,Masako (bag),Frantic Funyard,0
Flag,Masako (bag),Super Sky Courtyard,0
Flag,Masako (bag),3DS Neo Bowser City,0
Flag,Masako (bag),Pipe Underworld,1
Flag,Masako,Mansion of Madness,2
Flag,Masako (bag),Strobenz Desert Illusion,1
Flag,Masako (bag),Shy Guy Lumber Co.,0
Flag,Masako (bag),Dark Matter Shrine,1
Flag,Masako (bag),Bluster Blob Bluff,1
Flag,Masako (bag),Christmas Court,1
Flag,Masako (bag),Wicked Woods,0
Flag,Masako (bag),Lava Lake,0
TMNG,Mossan,Obstagoon's Palace,4
TMNG,Mossan,Twin Peaks,10
TMNG,Mossan,GBA Cheep-Cheep Island,15
TMNG,Mossan,Abandoned Boardwalk,6
TMNG,Mossan,Skyline Avenue,15
TMNG,Mossan,Wolf Castlegrounds,4
TMNG,Mossan,Christmas Court,12
TMNG,Mossan,Bowser's Termination Station,4
TMNG,Mossan,Tropical Factory,8
TMNG,Mossan,N64 Banshee Boardwalk,8
TMNG,Mossan,Haunted Gardens,15
TMNG,Mossan,Lava Lake,8
TMNG,tobun,Obstagoon's Palace,15
TMNG,tobun,Twin Peaks,6
TMNG,tobun,GBA Cheep-Cheep Island,3
TMNG,tobun,Abandoned Boardwalk,4
TMNG,tobun,Skyline Avenue,6
TMNG,tobun,Wolf Castlegrounds,15
TMNG,tobun,Christmas Court,4
TMNG,tobun,Bowser's Termination Station,8
TMNG,tobun,Tropical Factory,10
TMNG,tobun,N64 Banshee Boardwalk,10
TMNG,tobun,Haunted Gardens,2
TMNG,tobun,Lava Lake,12
TMNG,Marron,Obstagoon's Palace,12
TMNG,Marron,Twin Peaks,12
TMNG,Marron,GBA Cheep-Cheep Island,6
TMNG,Marron,Abandoned Boardwalk,8
TMNG,Marron,Skyline Avenue,8
TMNG,Marron,Wolf Castlegrounds,6
TMNG,Marron,Christmas Court,2
TMNG,Marron,Bowser's Termination Station,10
TMNG,Marron,Tropical Factory,6
TMNG,Marron,N64 Banshee Boardwalk,3
TMNG,Marron,Haunted Gardens,6
TMNG,Marron,Lava Lake,15
TMNG,Kaguya,Obstagoon's Palace,3
TMNG,Kaguya,Twin Peaks,15
TMNG,Kaguya,GBA Cheep-Cheep Island,2
TMNG,Kaguya,Abandoned Boardwalk,2
TMNG,Kaguya,Skyline Avenue,3
TMNG,Kaguya,Wolf Castlegrounds,3
